key,English,Chinese,Pinyin
AA229,"to travel",旅行,"lǚ xíng"
AA230,"to smile",笑,xiào
AA231,heart,心,xīn
AA232,"to see someone off",送,sòng
AA233,daughter,女儿,"nǚ ér"
AA234,"last year",去年,"qù nián"
AA235,thing,东西,"dōng xi"
AA236,"to cry",哭,kū
AA237,"to leave",离,lí
AA238,distant,远,yuǎn
AA239,enthusiastic,热情,"rè qíng"
AA240,self,自己,"zì jǐ"
